email,name,type,genre,notes,status,date_added,date_sent,bounce
demo@after.life,Afterlife Records,label,Melodic Techno,Founded by Tale Of Us - top-tier target,sent,2026-04-03,2026-04-03,no
info@after.life,Afterlife Records (general),label,Melodic Techno,General inquiries,sent,2026-04-03,2026-04-03,no
demos@cercle.io,Cercle Music,label,Melodic Techno/House,Live streaming platform + label,bounced,2026-04-03,2026-04-03,yes
solomundemo@diynamic.com,Diynamic (Solomun),label,Melodic House & Techno,Auto-reply: Submissions break until April,sent,2026-04-03,2026-04-03,no
demo@2diy4.net,Diynamic 2DIY4,label,Downtempo/Electronica,Sublabel of Diynamic,sent,2026-04-03,2026-04-03,no
music@alldayidream.com,All Day I Dream,label,Melodic House & Techno,Premier melodic house label,bounced,2026-04-03,2026-04-03,yes
label@kompakt.fm,Kompakt Records,label,Minimal/Melodic Techno,Cologne-based influential,sent,2026-04-03,2026-04-03,no
demo@innervisions.net,Innervisions,label,Minimal/Melodic Techno,Berlin-based,bounced,2026-04-03,2026-04-03,yes
demo@blackmirrorrecordings.com,Black Mirror Recordings,label,Melodic Techno,Domain not found - dead,bounced,2026-04-03,2026-04-03,yes
furriersound@gmail.com,Furrier Records,label,Melodic House & Techno,Accepts melodic submissions,sent,2026-04-03,2026-04-03,no
guavasound@gmail.com,Minimal Melodic Techno Legends,label,Minimal/Melodic Techno,Ukraine-based,sent,2026-04-03,2026-04-03,no
demo@flashmobrecords.com,Flashmob Records,label,Melodic/Progressive Techno,Solarstone's label,sent,2026-04-03,2026-04-03,no
demos@solarstone.co.uk,Solarstone,label,Progressive/Trance,UK artist/label,sent,2026-04-03,2026-04-03,no
lazulirecordsofficial@gmail.com,Lazuli Records,label,Electronic,Demo submission,sent,2026-04-03,2026-04-03,no
emok@iboga.dk,Iboga Records,label,Psytrance/Progressive,Copenhagen Denmark,sent,2026-04-03,2026-04-03,no
demo@antimamusic.com,Antima Music,label,Progressive/Psytrance,Italian digital label,sent,2026-04-03,2026-04-03,no
trippypsyrecords@gmx.ch,Trippy Psy Records,label,Psytrance,Switzerland-based,sent,2026-04-03,2026-04-03,no
demos@trancespired.com,Trancespired Recordings,label,Trance/Progressive,UK-based,sent,2026-04-03,2026-04-03,no
contact@nanostate.family,Nanostate Music,label,Progressive,Independent,bounced,2026-04-03,2026-04-03,yes
Primeedmrecords@hotmail.com,Prime EDM Records,label,Psytrance/EDM,320kbps or WAV required,sent,2026-04-03,2026-04-03,no
pcrrecords.official@gmail.com,PCR Records,label,Afro/Deep House,Italy-based,sent,2026-04-03,2026-04-03,no
demos@yhvmusic.group,YHV Records,label,Afro/Organic House,Melodic house specialist,sent,2026-04-03,2026-04-03,no
deepershades@mail.com,Deeper Shades Recordings,label,Deep House,Private SoundCloud links preferred,bounced,2026-04-03,2026-04-03,yes
info@deephousecats.com,Deep House Cats SA,label,Deep House/Tech,South African label,sent,2026-04-03,2026-04-03,no
andrew@nervousnyc.com,Nervous Records,label,Tech House/Deep House,Multiple genres,sent,2026-04-03,2026-04-03,no
deephousespain@hotmail.com,Deep House Spain,label,Deep House,Spain-based - RJM #1 Spotify market,sent,2026-04-03,2026-04-03,no
info@electronicradar.com,Electronic Radar,curator,Techno & House,Independent curator platform,sent,2026-04-03,2026-04-03,no
contact@techmehomechannel.com,Tech Me Home,curator,Tech House/Melodic Techno,YouTube + curator,sent,2026-04-03,2026-04-03,no
demo@area-verde.com,Area Verde Music,curator,Melodic Techno,42.6K saves playlist,sent,2026-04-03,2026-04-03,no
info@area-verde.com,Area Verde Music (alt),curator,Melodic Techno,Alternative contact | SKIPPED: already sent to area-verde.com,skip,2026-04-03,,no
info@zmaagency.com,Zamna Agency,curator,Melodic Techno,Booking + label connection,sent,2026-04-03,2026-04-03,no
contact@elevinartist.com,ELEVIN,curator,Melodic Techno,135K saves melodic techno playlist,sent,2026-04-03,2026-04-03,no
info@widerbergmusic.com,Widerberg,curator,Melodic Techno,249.9K saves MELODIC TECHNO 2026 - email bounced try IG DM @widerbergmusic,bounced,2026-04-03,2026-04-03,yes
contact@ozorafest.hu,Ozora Festival,festival,Psytrance/World,Hungary psytrance + world music festival - pitch Halleluyah & Renamed,bounced,2026-04-03,2026-04-03,yes
demo@upperground.art,Upperground Records (ARTBAT),label,Melodic Techno,ARTBAT's label - driving rhythms with emotive melodies,sent,2026-04-03,2026-04-03,no
press@axiomlabelgroup.com,AXIOM Label Group,label,Christian EDM,"Christian EDM label Austin TX - pitch Halleluyah, Living Water, He Is The Light",sent,2026-04-03,2026-04-03,no
hello@cityonthehillmusicfest.com,City On The Hill Music Festival,festival,Christian Music,"Christian music festival Minnesota USA - pitch Halleluyah, Living Water, He Is The Light",sent,2026-04-03,2026-04-03,no
tickets@farraworld.com,Farra World (Tenerife),festival,Electronic,"Tenerife festival production company - Sunblast, Lost Nomads, La Misa - check genre fit per event",sent,2026-04-03,2026-04-03,no
info@colorizemusic.com,Colorize (Enhanced) Music,label,Melodic Techno/Progressive House,Will Holland's label - progressive house and melodic techno - pitch Living Water/He Is The Light/You See It All,sent,2026-04-04,2026-04-04,no
contact@anjunadeep.com,Anjunadeep,label,Deep House/Melodic House & Techno,Top melodic house & techno label - Yotto Luttrell Lane 8 - pitch Living Water/He Is The Light/You See It All (Rufus du Sol style),sent,2026-04-04,2026-04-04,no
info@zenonrecords.com,Zenon Records,label,Psytrance/Organic/Trippy,Organic trippy futuristic psytrance - pitch Halleluyah & Jericho - prefers WAV format,sent,2026-04-04,2026-04-04,no
alex@suprematicagency.com,Deep Organic House & Melodic Techno Playlist,curator,Melodic Techno/Organic House,Suprematic Agency curator - Deep Organic House & Melodic Techno 2025 Spotify playlist - pitch Living Water/He Is The Light/You See It All,sent,2026-04-04,2026-04-04,no
guettapen.spotify@gmail.com,Melodic House 2025 Playlist Curator,curator,Melodic House,Melodic House 2025 Spotify playlist curator (guettapen) - pitch Living Water/He Is The Light/You See It All,sent,2026-04-04,2026-04-04,no
spotify@hmwl.org,Melodic House & Techno Curator (HMWL),curator,Melodic House & Techno,HMWL Melodic House & Techno 2025 Spotify playlist curator - pitch Living Water/He Is The Light/You See It All,sent,2026-04-04,2026-04-04,no
